cashtag,tweets
FIS,0
FITB,0
FE,5
FISV,0
FLIR,0
FLS,0
FLR,0
FMC,0
FTI,0
FL,0
F,7
FTV,0
FBHS,3
BEN,1
FCX,4
GPS,0
GRMN,0
IT,0
GD,0
GE,7
GGP,2
GIS,1
GM,2
GPC,2
GILD,5
GPN,1
GS,19
GT,0
GWW,0
HAL,0
HBI,0
HOG,0
HRS,0
HIG,0
HAS,1
HCA,0
HCP,0
HP,1
HSIC,1
HES,0
HPE,0
HOLX,2
HD,2
HON,0
HRL,0
HST,2
HPQ,3
HUM,0
HBAN,0
IDXX,4
ITW,0
ILMN,1
IR,0
INTC,0
ICE,0
IBM,3
INCY,1
IP,0
IPG,2
IFF,1
INTU,0
ISRG,1
IVZ,1
IRM,2
JEC,0
JBHT,1
SJM,0
JNJ,3
JCI,0
JPM,53
JNPR,2
KSU,1
K,3
KEY,0
KMB,1
KIM,2
KMI,3
KLAC,1
KSS,0
KHC,0
KR,0
LB,0
LLL,0
LH,0
LRCX,1
LEG,1
LEN,0
LVLT,0
LUK,0
LLY,1
LNC,0
LKQ,1
LMT,2
L,0
LOW,1
LYB,0
MTB,1
MAC,2
M,6
MNK,1
MRO,3
MPC,1
MAR,1
MMC,0
MLM,0
MAS,0
MA,0
MAT,0
MKC,0
MCD,5
MCK,1
MJN,1
MDT,1
MRK,0
MET,0
MTD,0
KORS,3
MCHP,0
MU,2
MSFT,7
MAA,0
MHK,2
TAP,1
MDLZ,1
MON,7
MNST,0
MCO,0
MS,28
MOS,3
MSI,0
MUR,1
MYL,0
NDAQ,0
NOV,0
NAVI,0
NTAP,0
NFLX,16
NWL,0
NFX,2
NEM,5
NWSA,0
NWS,0
NEE,1
NLSN,0
NKE,2
NI,0
NBL,0
JWN,0
NSC,2
NTRS,0
NOC,0
NRG,1
NUE,0
NVDA,15
ORLY,0
OXY,2
OMC,1
OKE,0
ORCL,2
PCAR,0
PH,0
PDCO,0
PAYX,0
PYPL,1
PNR,0
PBCT,0
PEP,0
PKI,0
PRGO,0
PFE,3
PCG,0
PM,1
PSX,0
PNW,0
PXD,1
PNC,13
RL,1
PPG,2
PPL,4
PX,2
PCLN,5
PFG,1
PG,2
PGR,1
PLD,0
PRU,1
PEG,0
PSA,0
PHM,0
PVH,2
QRVO,0
PWR,1
QCOM,14
DGX,0
RRC,0
RJF,0
RTN,2
O,2
RHT,3
REG,0
REGN,0
RF,2
RSG,0
RAI,2
RHI,0
ROK,1
COL,3
ROP,0
ROST,1
RCL,1
R,0
CRM,0
SCG,0
SLB,3
SNI,1
STX,2
SEE,1
SRE,0
SHW,0
SIG,0
SPG,4
SWKS,0
SLG,0
SNA,3
SO,1
LUV,4
SPGI,0
SWK,0
SPLS,2
SBUX,11
STT,1
SRCL,2
SYK,0
STI,0
SYMC,0
SYF,2
SNPS,0
SYY,0
TROW,1
TGT,2
TEL,1
TGNA,0
TDC,0
TSO,2
TXN,5
TXT,1
COO,0
HSY,0
TRV,0
TMO,0
TIF,3
TWX,0
TJX,0
TMK,0
TSS,0
TSCO,5
TDG,12
RIG,0
TRIP,0
FOXA,0
FOX,0
TSN,1
UDR,1
ULTA,0
USB,0
UA,2
UAA,0
UNP,0
UAL,50
UNH,0
UPS,0
URI,3
UTX,0
UHS,0
UNM,3
VFC,1
VLO,2
VAR,3
VTR,3
VRSN,1
VRSK,1
VZ,10
VRTX,1
VIAB,0
V,41
VNO,1
VMC,0
WMT,2
WBA,0
DIS,12
WM,0
WAT,0
WEC,0
WFC,37
HCN,0
WDC,1
WU,1
WRK,0
WY,0
WHR,1
WFM,7
WMB,0
WLTW,0
WYN,1
WYNN,3
XEL,0
XRX,0
XLNX,0
XL,0
XYL,0
YHOO,3
YUM,2
ZBH,0
ZION,0
ZTS,6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
