cashtag,tweets
INTU,0
ISRG,0
IVZ,0
IRM,1
JEC,0
JBHT,0
SJM,0
JNJ,56
JCI,2
JPM,29
JNPR,0
KSU,1
K,0
KEY,0
KMB,1
KIM,0
KMI,0
KLAC,0
KSS,0
KHC,0
KR,6
LB,7
LLL,0
LH,1
LRCX,0
LEG,0
LEN,0
LVLT,0
LUK,1
LLY,5
LNC,1
LKQ,2
LMT,1
L,2
LOW,0
LYB,0
MTB,0
MAC,0
M,7
MNK,3
MRO,4
MPC,0
MAR,1
MMC,1
MLM,0
MAS,1
MA,0
MAT,1
MKC,1
MCD,6
MCK,1
MJN,0
MDT,3
MRK,3
MET,0
MTD,0
KORS,2
MCHP,0
MU,4
MSFT,4
MAA,0
MHK,0
TAP,1
MDLZ,1
MON,0
MNST,1
MCO,0
MS,5
MOS,1
MSI,0
MUR,3
MYL,8
NDAQ,0
NOV,1
NAVI,1
NTAP,0
NFLX,12
NWL,0
NFX,0
NEM,6
NWSA,0
NWS,0
NEE,1
NLSN,2
NKE,6
NI,0
NBL,2
JWN,2
NSC,1
NTRS,2
NOC,0
NRG,5
NUE,1
NVDA,29
ORLY,0
OXY,1
OMC,0
OKE,0
ORCL,1
PCAR,0
PH,1
PDCO,0
PAYX,0
PYPL,4
PNR,1
PBCT,2
PEP,8
PKI,1
PRGO,1
PFE,3
PCG,0
PM,0
PSX,2
PNW,0
PXD,0
PNC,1
RL,0
PPG,2
PPL,1
PX,1
PCLN,5
PFG,0
PG,2
PGR,0
PLD,3
PRU,1
PEG,1
PSA,0
PHM,0
PVH,0
QRVO,0
PWR,1
QCOM,31
DGX,1
RRC,0
RJF,0
RTN,3
O,1
RHT,1
REG,1
REGN,2
RF,2
RSG,0
RAI,1
RHI,0
ROK,3
COL,2
ROP,0
ROST,0
RCL,1
R,1
CRM,3
SCG,1
SLB,0
SNI,1
STX,2
SEE,0
SRE,0
SHW,0
SIG,0
SPG,0
SWKS,0
SLG,0
SNA,6
SO,7
LUV,10
SPGI,1
SWK,1
SPLS,9
SBUX,9
STT,3
SRCL,3
SYK,1
STI,4
SYMC,0
SYF,2
SNPS,0
SYY,0
TROW,1
TGT,3
TEL,1
TGNA,1
TDC,1
TSO,1
TXN,3
TXT,2
COO,0
HSY,3
TRV,1
TMO,0
TIF,1
TWX,0
TJX,1
TMK,0
TSS,1
TSCO,12
TDG,1
RIG,0
TRIP,0
FOXA,1
FOX,1
TSN,1
UDR,1
ULTA,0
USB,0
UA,5
UAA,1
UNP,1
UAL,100
UNH,2
UPS,0
URI,1
UTX,1
UHS,0
UNM,0
VFC,0
VLO,1
VAR,1
VTR,2
VRSN,5
VRSK,0
VZ,0
VRTX,2
VIAB,1
V,48
VNO,1
VMC,0
WMT,13
WBA,8
DIS,3
WM,0
WAT,0
WEC,0
WFC,25
HCN,3
WDC,4
WU,0
WRK,0
WY,0
WHR,0
WFM,12
WMB,0
WLTW,0
WYN,1
WYNN,0
XEL,2
XRX,0
XLNX,1
XL,0
XYL,0
YHOO,2
YUM,1
ZBH,0
ZION,3
ZTS,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
