cashtag,tweets
ETR,0
EVHC,0
EOG,1
EQT,3
EFX,0
EQIX,0
EQR,1
ESS,0
EL,0
ES,2
EXC,1
EXPE,0
EXPD,0
ESRX,0
EXR,2
XOM,1
FFIV,0
FB,37
FAST,3
FRT,0
FDX,0
FIS,2
FITB,0
FE,0
FISV,0
FLIR,0
FLS,0
FLR,0
FMC,0
FTI,0
FL,0
F,0
FTV,0
FBHS,3
BEN,0
FCX,4
GPS,1
GRMN,0
IT,1
GD,0
GE,1
GGP,0
GIS,0
GM,0
GPC,0
GILD,0
GPN,1
GS,4
GT,0
GWW,0
HAL,0
HBI,0
HOG,2
HRS,0
HIG,0
HAS,0
HCA,0
HCP,0
HP,0
HSIC,0
HES,2
HPE,3
HOLX,0
HD,1
HON,0
HRL,2
HST,1
HPQ,0
HUM,0
HBAN,0
IDXX,0
ITW,0
ILMN,0
IR,0
INTC,1
ICE,0
IBM,1
INCY,0
IP,0
IPG,0
IFF,0
INTU,0
ISRG,0
IVZ,0
IRM,0
JEC,0
JBHT,0
SJM,0
JNJ,2
JCI,1
JPM,8
JNPR,0
KSU,0
K,0
KEY,0
KMB,0
KIM,0
KMI,0
KLAC,0
KSS,0
KHC,0
KR,0
LB,0
LLL,0
LH,0
LRCX,0
LEG,0
LEN,0
LVLT,0
LUK,0
LLY,0
LNC,0
LKQ,0
LMT,0
L,0
LOW,0
LYB,0
MTB,0
MAC,2
M,2
MNK,0
MRO,1
MPC,0
MAR,1
MMC,0
MLM,0
MAS,1
MA,0
MAT,0
MKC,0
MCD,2
MCK,1
MJN,0
MDT,2
MRK,8
MET,0
MTD,0
KORS,0
MCHP,0
MU,0
MSFT,1
MAA,1
MHK,0
TAP,0
MDLZ,0
MON,0
MNST,0
MCO,0
MS,0
MOS,0
MSI,1
MUR,0
MYL,0
NDAQ,0
NOV,0
NAVI,0
NTAP,1
NFLX,1
NWL,0
NFX,0
NEM,4
NWSA,0
NWS,0
NEE,3
NLSN,2
NKE,0
NI,2
NBL,0
JWN,1
NSC,0
NTRS,0
NOC,0
NRG,1
NUE,0
NVDA,3
ORLY,0
OXY,0
OMC,0
OKE,0
ORCL,1
PCAR,1
PH,0
PDCO,0
PAYX,0
PYPL,0
PNR,2
PBCT,0
PEP,3
PKI,0
PRGO,0
PFE,100
PCG,0
PM,0
PSX,0
PNW,0
PXD,0
PNC,1
RL,0
PPG,0
PPL,0
PX,0
PCLN,0
PFG,0
PG,2
PGR,0
PLD,0
PRU,0
PEG,0
PSA,0
PHM,0
PVH,1
QRVO,0
PWR,0
QCOM,1
DGX,0
RRC,1
RJF,5
RTN,1
O,2
RHT,0
REG,1
REGN,0
RF,0
RSG,0
RAI,0
RHI,0
ROK,0
COL,0
ROP,0
ROST,0
RCL,0
R,1
CRM,1
SCG,0
SLB,0
SNI,1
STX,0
SEE,0
SRE,1
SHW,0
SIG,0
SPG,0
SWKS,1
SLG,0
SNA,0
SO,0
LUV,1
SPGI,0
SWK,0
SPLS,0
SBUX,2
STT,0
SRCL,0
SYK,0
STI,0
SYMC,0
SYF,1
SNPS,1
SYY,0
TROW,1
TGT,0
TEL,1
TGNA,0
TDC,2
TSO,0
TXN,0
TXT,0
COO,0
HSY,0
TRV,0
TMO,0
TIF,1
TWX,0
TJX,0
TMK,0
TSS,0
TSCO,0
TDG,2
RIG,0
TRIP,0
FOXA,0
FOX,1
TSN,0
UDR,0
ULTA,2
USB,0
UA,0
UAA,0
UNP,0
UAL,0
UNH,0
UPS,3
URI,0
UTX,0
UHS,0
UNM,0
VFC,2
VLO,0
VAR,0
VTR,0
VRSN,0
VRSK,1
VZ,0
VRTX,1
VIAB,0
V,30
VNO,0
VMC,0
WMT,3
WBA,0
DIS,0
WM,0
WAT,0
WEC,0
WFC,5
HCN,0
WDC,1
WU,0
WRK,0
WY,1
WHR,0
WFM,1
WMB,0
WLTW,1
WYN,0
WYNN,1
XEL,0
XRX,0
XLNX,0
XL,1
XYL,0
YHOO,0
YUM,0
ZBH,2
ZION,0
ZTS,0
