cashtag,tweets
PNC,1
RL,0
PPG,0
PPL,0
PX,0
PCLN,1
PFG,0
PG,0
PGR,0
PLD,0
PRU,2
PEG,0
PSA,0
PHM,0
PVH,0
QRVO,0
PWR,0
QCOM,1
DGX,0
RRC,0
RJF,0
RTN,0
O,1
RHT,0
REG,0
REGN,0
RF,1
RSG,0
RAI,0
RHI,0
ROK,0
COL,0
ROP,0
ROST,0
RCL,1
R,0
CRM,0
SCG,0
SLB,1
SNI,0
STX,1
SEE,1
SRE,0
SHW,0
SIG,0
SPG,0
SWKS,0
SLG,0
SNA,0
SO,1
LUV,1
SPGI,0
SWK,0
SPLS,1
SBUX,1
STT,0
SRCL,0
SYK,0
STI,0
SYMC,0
SYF,0
SNPS,0
SYY,0
TROW,0
TGT,0
TEL,0
TGNA,0
TDC,0
TSO,0
TXN,0
TXT,0
COO,0
HSY,0
TRV,1
TMO,0
TIF,0
TWX,0
TJX,0
TMK,0
TSS,0
TSCO,0
TDG,0
RIG,1
TRIP,0
FOXA,0
FOX,3
TSN,0
UDR,1
ULTA,0
USB,0
UA,0
UAA,0
UNP,0
UAL,12
UNH,1
UPS,0
URI,0
UTX,1
UHS,0
UNM,0
VFC,0
VLO,1
VAR,0
VTR,0
VRSN,0
VRSK,0
VZ,0
VRTX,0
VIAB,0
V,22
VNO,0
VMC,0
WMT,3
WBA,1
DIS,6
WM,0
WAT,0
WEC,0
WFC,1
HCN,0
WDC,1
WU,2
WRK,0
WY,0
WHR,0
WFM,0
WMB,0
WLTW,0
WYN,0
WYNN,0
XEL,0
XRX,0
XLNX,0
XL,0
XYL,0
YHOO,0
YUM,2
ZBH,0
ZION,0
ZTS,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
