run start,tweets
GPC,0
GILD,42
GPN,1
GS,2
GT,0
GWW,0
HAL,3
HBI,0
HOG,0
HRS,0
HIG,0
HAS,1
HCA,7
HCP,5
HP,0
HSIC,1
HSY,2
HES,2
HPE,0
HOLX,2
HD,3
HON,4
HRL,0
HST,2
HPQ,1
HUM,7
HBAN,1
IDXX,2
ITW,1
ILMN,2
IR,2
INTC,20
ICE,1
IBM,10
INCY,2
IP,0
IPG,0
IFF,2
INTU,2
ISRG,1
IVZ,2
IRM,0
JEC,3
JBHT,0
SJM,5
JNJ,6
JCI,2
JPM,8
JNPR,6
KSU,1
K,1
KEY,0
KMB,2
KIM,0
KMI,0
KLAC,3
KSS,0
KHC,0
KR,0
LB,2
LLL,1
LH,0
LRCX,0
LEG,1
LEN,0
LVLT,1
LUK,0
LLY,2
LNC,0
LKQ,1
LMT,1
L,0
LOW,3
LYB,3
MTB,0
MAC,1
M,11
MNK,2
MRO,0
MPC,0
MAR,0
MMC,2
MLM,7
MAS,1
MA,8
MAT,3
MKC,1
MCD,4
MCK,4
MJN,1
MDT,0
MRK,35
MET,4
MTD,4
KORS,1
MCHP,0
MU,0
MSFT,17
MAA,0
MHK,3
TAP,0
MDLZ,5
MON,1
MNST,0
MCO,4
MS,8
MOS,1
MSI,1
MUR,1
MYL,7
NDAQ,1
NOV,0
NAVI,1
NTAP,1
NFLX,23
NWL,0
NFX,3
NEM,2
NWSA,0
NWS,0
NEE,1
NLSN,0
NKE,0
NI,0
NBL,4
JWN,0
NSC,0
NTRS,2
NOC,0
NRG,5
NUE,0
NVDA,10
ORLY,1
OXY,0
OMC,0
OKE,4
ORCL,3
PCAR,1
PH,1
PDCO,6
PAYX,0
PYPL,2
PNR,1
PBCT,0
PEP,3
PKI,0
PRGO,1
PFE,48
PCG,0
PM,2
PSX,1
PNW,0
PXD,1
PNC,3
RL,1
PPG,3
PPL,1
PX,1
PCLN,6
PFG,4
PG,0
PGR,5
PLD,3
PRU,0
PEG,0
PSA,1
PHM,1
PVH,1
QRVO,2
PWR,1
QCOM,19
DGX,1
RRC,2
RJF,3
RTN,5
O,1
RHT,2
REG,2
REGN,2
RF,1
RSG,0
RAI,0
RHI,0
ROK,2
COL,1
ROP,0
ROST,1
RCL,4
R,1
CRM,5
SCG,1
SLB,0
SNI,1
STX,2
SEE,0
SRE,0
SHW,3
SIG,1
SPG,1
SWKS,2
SLG,1
SNA,3
SO,2
LUV,2
SPGI,0
SWK,0
SPLS,1
SBUX,2
STT,0
SRCL,3
SYK,1
STI,6
SYMC,1
SYF,1
SNPS,0
SYY,0
TROW,1
TGT,1
TEL,0
FTI,1
TGNA,0
TDC,4
TSO,3
TXN,4
TXT,4
TMO,0
TIF,1
TWX,2
TJX,2
TMK,1
TSS,4
TSCO,1
TDG,3
RIG,2
TRV,3
TRIP,1
FOXA,1
FOX,0
TSN,0
UDR,0
ULTA,0
USB,2
UA,3
UAA,5
UNP,1
UAL,10
UNH,0
UPS,9
URI,0
UTX,4
UHS,2
UNM,1
VFC,4
VLO,4
VAR,5
VTR,5
VRSN,0
VRSK,2
VZ,8
VRTX,5
VIAB,2
V,39
VNO,3
VMC,0
WMT,4
WBA,1
DIS,1
WM,0
WAT,1
WEC,2
WFC,8
HCN,1
WDC,12
WU,1
WRK,1
WY,2
WHR,1
WFM,0
WMB,3
WLTW,1
WYN,0
WYNN,2
XEL,1
XRX,2
XLNX,2
XL,0
XYL,3
YHOO,1
YUM,1
ZBH,2
ZION,5
